conversion_id,click_id,revenue
2000,100000,1.173893
2001,100001,0.388161
2002,100002,0.678304
2003,100003,0.728844
2004,100004,0.60824
2005,100005,1.142528
2006,100006,0.562476
2007,100007,0.825803
2008,100008,1.047481
2009,100009,0.892011
2010,100010,0.399497
2011,100011,1.295414
2012,100012,0.332151
2013,100013,0.938184
2014,100014,1.101157
2015,100015,1.197243
2016,100016,1.135787
2017,100017,0.965211
2018,100018,0.728546
2019,100019,1.383605
2020,100020,0.889286
2021,100021,0.353745
2022,100022,1.02497
2023,100023,0.507347
2024,100024,0.441346
2025,100025,0.631612
2026,100026,0.308411
2027,100027,0.379881
2028,100028,1.078232
2029,100029,1.087596
2030,100038,1.087596
2031,100037,1.087596
